"Date","Price","Open","High","Low","Vol.","Change %"
"01/30/2024","4,662.70","4,647.41","4,667.42","4,642.26","31.63M","0.50%"
"01/29/2024","4,639.36","4,636.77","4,639.36","4,622.46","26.59M","0.08%"
"01/26/2024","4,635.47","4,572.13","4,639.05","4,572.13","24.80M","1.16%"
"01/25/2024","4,582.26","4,562.34","4,584.87","4,545.52","30.57M","0.40%"
"01/24/2024","4,564.11","4,469.79","4,564.11","4,469.60","30.20M","2.20%"
"01/23/2024","4,465.91","4,487.51","4,496.39","4,456.78","21.31M","-0.32%"
"01/22/2024","4,480.32","4,454.45","4,495.43","4,454.45","24.71M","0.71%"
"01/19/2024","4,448.83","4,465.20","4,476.78","4,437.50","26.27M","-0.09%"
"01/18/2024","4,453.05","4,417.56","4,455.47","4,408.42","25.62M","1.13%"
"01/17/2024","4,403.08","4,420.60","4,420.60","4,380.97","26.43M","-0.98%"
"01/16/2024","4,446.51","4,443.21","4,448.45","4,414.44","22.72M","-0.18%"
"01/15/2024","4,454.68","4,483.98","4,489.49","4,451.03","16.29M","-0.57%"
"01/12/2024","4,480.02","4,453.24","4,492.77","4,453.24","20.70M","0.85%"
"01/11/2024","4,442.28","4,481.40","4,510.01","4,441.46","24.08M","-0.60%"
"01/10/2024","4,468.98","4,467.15","4,484.80","4,459.54","20.34M","0.04%"
"01/09/2024","4,467.17","4,486.99","4,486.99","4,446.62","25.54M","-0.41%"
"01/08/2024","4,485.48","4,461.80","4,487.26","4,438.49","21.90M","0.49%"
"01/05/2024","4,463.51","4,458.74","4,474.88","4,418.08","28.78M","-0.23%"
"01/04/2024","4,474.01","4,451.72","4,476.72","4,443.42","28.08M","0.58%"
"01/03/2024","4,448.13","4,514.20","4,515.70","4,433.14","26.38M","-1.43%"
"01/02/2024","4,512.81","4,528.45","4,568.80","4,484.82","26.47M","-0.20%"
